task_id,description,category,deadline_days,workload,priority,assigned_user,processed_description
392,Test login functionality,Testing,27,8,Low,Tester_B,test login function
393,Test user registration module,Testing,24,2,Low,Tester_A,test user registr modul
394,Test user registration module,Testing,11,5,Medium,Tester_A,test user registr modul
395,Resolve database connection error,Bug Fix,22,8,Low,Developer_A,resolv databas connect error
396,Fix application crash issue,Bug Fix,27,2,Low,Developer_A,fix applic crash issu
397,Test user registration module,Testing,4,6,High,Developer_B,test user registr modul
398,Create user manual,Documentation,2,10,High,DevOps_A,creat user manual
399,Create user manual,Documentation,11,2,Medium,Tester_B,creat user manual
400,Perform payment module testing,Testing,28,7,Low,Developer_A,perform payment modul test
401,Develop search functionality,Development,20,5,Low,Tester_A,develop search function
402,Debug user registration problem,Bug Fix,19,9,Low,Developer_B,debug user registr problem
403,Resolve database connection error,Bug Fix,22,8,Low,Developer_B,resolv databas connect error
404,Debug user registration problem,Bug Fix,12,9,Medium,Tester_A,debug user registr problem
405,Debug user registration problem,Bug Fix,25,5,Low,DevOps_A,debug user registr problem
406,Implement payment module,Development,26,7,Low,DevOps_A,implement payment modul
407,Configure cloud infrastructure,Deployment,27,10,Low,DevOps_A,configur cloud infrastructur
408,Configure production server,Deployment,21,9,Low,Developer_A,configur product server
409,Prepare software requirement document,Documentation,30,5,Low,Developer_A,prepar softwar requir document
410,Develop user profile page,Development,9,5,Medium,Tester_A,develop user profil page
411,Perform payment module testing,Testing,1,3,High,Developer_B,perform payment modul test
412,Write technical documentation,Documentation,22,7,Low,Developer_A,write technic document
413,Resolve database connection error,Bug Fix,24,1,Low,Developer_A,resolv databas connect error
414,Deploy backend service,Deployment,17,4,Low,Tester_B,deploy backend servic
415,Test user registration module,Testing,15,6,Medium,Developer_B,test user registr modul
416,Perform payment module testing,Testing,10,6,Medium,DevOps_A,perform payment modul test
417,Prepare software requirement document,Documentation,3,1,High,Developer_B,prepar softwar requir document
418,Develop user profile page,Development,25,10,Low,Developer_A,develop user profil page
419,Configure production server,Deployment,3,5,High,Tester_B,configur product server
420,Configure production server,Deployment,14,8,Medium,DevOps_A,configur product server
421,Perform API testing,Testing,14,5,Medium,Developer_B,perform api test
422,Configure cloud infrastructure,Deployment,17,2,Low,Tester_A,configur cloud infrastructur
423,Test user registration module,Testing,4,5,High,DevOps_A,test user registr modul
424,Prepare project documentation,Documentation,17,5,Low,Developer_A,prepar project document
425,Implement payment module,Development,13,10,Medium,Developer_A,implement payment modul
426,Fix login authentication bug,Bug Fix,7,5,Medium,Developer_B,fix login authent bug
427,Configure cloud infrastructure,Deployment,5,5,High,Tester_A,configur cloud infrastructur
428,Test login functionality,Testing,4,1,High,Tester_B,test login function
429,Deploy backend service,Deployment,14,3,Medium,Developer_B,deploy backend servic
430,Execute regression testing,Testing,18,4,Low,DevOps_A,execut regress test
431,Create user manual,Documentation,27,6,Low,Developer_A,creat user manual
432,Execute regression testing,Testing,28,1,Low,Tester_B,execut regress test
433,Fix login authentication bug,Bug Fix,15,2,Medium,Tester_A,fix login authent bug
434,Write technical documentation,Documentation,14,10,Medium,Tester_B,write technic document
435,Setup CI CD pipeline,Deployment,21,7,Low,Tester_A,setup ci cd pipelin
436,Debug user registration problem,Bug Fix,13,1,Medium,Tester_A,debug user registr problem
437,Develop user profile page,Development,26,10,Low,Tester_B,develop user profil page
438,Setup CI CD pipeline,Deployment,30,6,Low,Developer_A,setup ci cd pipelin
439,Test user registration module,Testing,28,2,Low,Developer_B,test user registr modul
440,Test user registration module,Testing,19,7,Low,DevOps_A,test user registr modul
441,Fix application crash issue,Bug Fix,13,5,Medium,Tester_A,fix applic crash issu
442,Implement payment module,Development,11,3,Medium,Developer_A,implement payment modul
443,Update API documentation,Documentation,21,2,Low,DevOps_A,updat api document
444,Update API documentation,Documentation,7,6,Medium,Tester_A,updat api document
445,Deploy backend service,Deployment,27,3,Low,Developer_B,deploy backend servic
446,Debug user registration problem,Bug Fix,5,5,High,Developer_B,debug user registr problem
447,Develop user profile page,Development,20,3,Low,Developer_A,develop user profil page
448,Develop user profile page,Development,25,8,Low,Tester_B,develop user profil page
449,Configure cloud infrastructure,Deployment,19,10,Low,Tester_B,configur cloud infrastructur
450,Configure production server,Deployment,30,10,Low,DevOps_A,configur product server
451,Test login functionality,Testing,28,6,Low,Developer_B,test login function
452,Perform API testing,Testing,3,8,High,Tester_B,perform api test
453,Deploy application to production,Deployment,10,5,Medium,DevOps_A,deploy applic product
454,Resolve payment gateway error,Bug Fix,12,9,Medium,Developer_A,resolv payment gateway error
455,Develop search functionality,Development,15,8,Medium,Developer_A,develop search function
456,Resolve payment gateway error,Bug Fix,12,5,Medium,Developer_A,resolv payment gateway error
457,Deploy application to production,Deployment,28,2,Low,DevOps_A,deploy applic product
458,Prepare software requirement document,Documentation,17,7,Low,Tester_B,prepar softwar requir document
459,Write technical documentation,Documentation,18,1,Low,Tester_B,write technic document
460,Write technical documentation,Documentation,21,4,Low,Tester_A,write technic document
461,Prepare software requirement document,Documentation,16,9,Low,Developer_B,prepar softwar requir document
462,Resolve payment gateway error,Bug Fix,15,2,Medium,Tester_A,resolv payment gateway error
463,Setup CI CD pipeline,Deployment,3,9,High,Developer_B,setup ci cd pipelin
464,Resolve payment gateway error,Bug Fix,8,8,Medium,Tester_B,resolv payment gateway error
465,Update API documentation,Documentation,17,10,Low,Developer_B,updat api document
466,Perform payment module testing,Testing,12,5,Medium,Tester_B,perform payment modul test
467,Test user registration module,Testing,25,6,Low,DevOps_A,test user registr modul
468,Resolve payment gateway error,Bug Fix,26,6,Low,Developer_A,resolv payment gateway error
469,Test login functionality,Testing,4,9,High,Tester_B,test login function
470,Develop search functionality,Development,9,10,Medium,Developer_B,develop search function
471,Test login functionality,Testing,3,10,High,Developer_B,test login function
472,Perform payment module testing,Testing,10,7,Medium,Developer_B,perform payment modul test
473,Prepare software requirement document,Documentation,23,2,Low,Tester_A,prepar softwar requir document
474,Create user manual,Documentation,13,6,Medium,Developer_B,creat user manual
475,Configure production server,Deployment,23,9,Low,Developer_A,configur product server
476,Deploy application to production,Deployment,22,7,Low,DevOps_A,deploy applic product
477,Perform payment module testing,Testing,1,6,High,Tester_A,perform payment modul test
478,Develop user profile page,Development,7,6,Medium,Tester_B,develop user profil page
479,Create admin dashboard,Development,8,3,Medium,Developer_B,creat admin dashboard
480,Fix application crash issue,Bug Fix,10,2,Medium,DevOps_A,fix applic crash issu
481,Configure cloud infrastructure,Deployment,18,9,Low,Developer_A,configur cloud infrastructur
482,Configure production server,Deployment,11,10,Medium,Developer_B,configur product server
483,Prepare software requirement document,Documentation,13,3,Medium,Developer_B,prepar softwar requir document
484,Develop user profile page,Development,27,10,Low,Developer_B,develop user profil page
485,Deploy backend service,Deployment,15,1,Medium,Tester_B,deploy backend servic
486,Perform payment module testing,Testing,22,4,Low,Tester_B,perform payment modul test
487,Prepare software requirement document,Documentation,10,8,Medium,Developer_B,prepar softwar requir document
488,Create user manual,Documentation,8,5,Medium,Tester_B,creat user manual
489,Create admin dashboard,Development,12,10,Medium,Tester_B,creat admin dashboard
490,Perform API testing,Testing,25,5,Low,Tester_B,perform api test
491,Update API documentation,Documentation,17,7,Low,Developer_B,updat api document
492,Create admin dashboard,Development,26,10,Low,Developer_B,creat admin dashboard
493,Build notification system,Development,2,8,High,Tester_A,build notif system
494,Create user manual,Documentation,30,2,Low,DevOps_A,creat user manual
495,Debug user registration problem,Bug Fix,10,2,Medium,Developer_B,debug user registr problem
496,Build notification system,Development,15,9,Medium,Developer_B,build notif system
497,Test user registration module,Testing,3,4,High,Tester_B,test user registr modul
498,Perform payment module testing,Testing,30,1,Low,Tester_B,perform payment modul test
499,Resolve payment gateway error,Bug Fix,13,9,Medium,Tester_A,resolv payment gateway error
500,Implement payment module,Development,13,2,Medium,Tester_A,implement payment modul
