task_id,description,category,deadline_days,workload,priority,assigned_user
490,Perform API testing,Testing,25,5,Low,Tester_B
491,Update API documentation,Documentation,17,7,Low,Developer_B
492,Create admin dashboard,Development,26,10,Low,Developer_B
493,Build notification system,Development,2,8,High,Tester_A
494,Create user manual,Documentation,30,2,Low,DevOps_A
495,Debug user registration problem,Bug Fix,10,2,Medium,Developer_B
496,Build notification system,Development,15,9,Medium,Developer_B
497,Test user registration module,Testing,3,4,High,Tester_B
498,Perform payment module testing,Testing,30,1,Low,Tester_B
499,Resolve payment gateway error,Bug Fix,13,9,Medium,Tester_A
500,Implement payment module,Development,13,2,Medium,Tester_A
